Sample 1
1/11/2024 1:05:30 AM
Wavelength (nm)	10mm Absorbance
328.5	-0.002
329.0	-0.001
329.5	0.000
330.0	0.001
330.5	0.001
331.0	0.000
331.5	0.000
332.0	0.001
332.5	0.002
333.0	0.003
333.5	0.002
334.0	0.002
334.5	0.002
335.0	0.002
335.5	0.002
336.0	0.001
336.5	0.000
337.0	0.000
337.5	0.001
338.0	0.001
338.5	0.002
339.0	0.003
339.5	0.002
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	0.000
342.0	0.002
342.5	0.002
343.0	0.002
343.5	0.002
344.0	0.002
344.5	0.001
345.0	0.000
345.5	0.000
346.0	0.000
346.5	0.000
347.0	0.000
347.5	0.000
348.0	0.001
348.5	0.000
349.0	0.000
349.5	-0.002
350.0	-0.002


Sample 7
1/11/2024 1:28:40 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	2.288
A260/A230	0.050
A260	0.178
A280	0.078
220.0	6.452
220.5	6.349
221.0	6.232
221.5	6.103
222.0	5.963
222.5	5.807
223.0	5.644
223.5	5.461
224.0	5.256
224.5	5.038
225.0	4.825
225.5	4.636
226.0	4.473
226.5	4.330
227.0	4.202
227.5	4.083
228.0	3.974
228.5	3.873
229.0	3.774
229.5	3.673
230.0	3.571
230.5	3.464
231.0	3.353
231.5	3.237
232.0	3.109
232.5	2.969
233.0	2.819
233.5	2.663
234.0	2.500
234.5	2.330
235.0	2.159
235.5	1.991
236.0	1.832
236.5	1.684
237.0	1.541
237.5	1.405
238.0	1.269
238.5	1.143
239.0	1.028
239.5	0.932
240.0	0.852
240.5	0.785
241.0	0.728
241.5	0.678
242.0	0.633
242.5	0.591
243.0	0.549
243.5	0.510
244.0	0.473
244.5	0.443
245.0	0.416
245.5	0.394
246.0	0.374
246.5	0.356
247.0	0.339
247.5	0.324
248.0	0.309
248.5	0.295
249.0	0.284
249.5	0.273
250.0	0.265
250.5	0.257
251.0	0.251
251.5	0.245
252.0	0.238
252.5	0.232
253.0	0.226
253.5	0.221
254.0	0.215
254.5	0.211
255.0	0.206
255.5	0.203
256.0	0.199
256.5	0.194
257.0	0.190
257.5	0.185
258.0	0.182
258.5	0.181
259.0	0.180
259.5	0.179
260.0	0.178
260.5	0.176
261.0	0.174
261.5	0.172
262.0	0.169
262.5	0.168
263.0	0.165
263.5	0.163
264.0	0.162
264.5	0.161
265.0	0.162
265.5	0.160
266.0	0.158
266.5	0.155
267.0	0.152
267.5	0.148
268.0	0.143
268.5	0.139
269.0	0.135
269.5	0.134
270.0	0.131
270.5	0.130
271.0	0.128
271.5	0.125
272.0	0.122
272.5	0.118
273.0	0.115
273.5	0.111
274.0	0.108
274.5	0.105
275.0	0.103
275.5	0.103
276.0	0.101
276.5	0.100
277.0	0.097
277.5	0.092
278.0	0.089
278.5	0.087
279.0	0.083
279.5	0.080
280.0	0.078
280.5	0.074
281.0	0.072
281.5	0.069
282.0	0.066
282.5	0.063
283.0	0.059
283.5	0.056
284.0	0.053
284.5	0.051
285.0	0.050
285.5	0.048
286.0	0.044
286.5	0.042
287.0	0.040
287.5	0.036
288.0	0.033
288.5	0.030
289.0	0.028
289.5	0.026
290.0	0.024
290.5	0.022
291.0	0.019
291.5	0.016
292.0	0.015
292.5	0.012
293.0	0.008
293.5	0.006
294.0	0.002
294.5	0.000
295.0	-0.002
295.5	-0.004
296.0	-0.004
296.5	-0.006
297.0	-0.006
297.5	-0.009
298.0	-0.009
298.5	-0.009
299.0	-0.009
299.5	-0.010
300.0	-0.011
300.5	-0.010
301.0	-0.010
301.5	-0.009
302.0	-0.009
302.5	-0.008
303.0	-0.008
303.5	-0.008
304.0	-0.008
304.5	-0.008
305.0	-0.007
305.5	-0.006
306.0	-0.007
306.5	-0.007
307.0	-0.008
307.5	-0.009
308.0	-0.009
308.5	-0.010
309.0	-0.011
309.5	-0.011
310.0	-0.011
310.5	-0.009
311.0	-0.009
311.5	-0.009
312.0	-0.009
312.5	-0.010
313.0	-0.010
313.5	-0.010
314.0	-0.010
314.5	-0.009
315.0	-0.010
315.5	-0.009
316.0	-0.008
316.5	-0.007
317.0	-0.006
317.5	-0.005
318.0	-0.005
318.5	-0.004
319.0	-0.006
319.5	-0.006
320.0	-0.006
320.5	-0.006
321.0	-0.008
321.5	-0.008
322.0	-0.007
322.5	-0.007
323.0	-0.006
323.5	-0.007
324.0	-0.007
324.5	-0.007
325.0	-0.008
325.5	-0.007
326.0	-0.007
326.5	-0.007
327.0	-0.006
327.5	-0.005
328.0	-0.004
328.5	-0.004
329.0	-0.004
329.5	-0.005
330.0	-0.005
330.5	-0.005
331.0	-0.005
331.5	-0.005
332.0	-0.005
332.5	-0.004
333.0	-0.004
333.5	-0.004
334.0	-0.002
334.5	-0.004
335.0	-0.005
335.5	-0.005
336.0	-0.005
336.5	-0.005
337.0	-0.003
337.5	-0.002
338.0	-0.001
338.5	0.000
339.0	0.001
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.002
342.0	-0.001
342.5	-0.001
343.0	0.000
343.5	-0.001
344.0	0.000
344.5	0.000
345.0	0.000
345.5	-0.002
346.0	-0.002
346.5	-0.002
347.0	-0.003
347.5	-0.004
348.0	-0.004
348.5	-0.005
349.0	-0.006
349.5	-0.007
350.0	-0.006


Sample 8
1/11/2024 1:30:29 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	-3.113
A260/A230	0.021
A260	0.013
A280	-0.004
220.0	1.165
220.5	1.146
221.0	1.121
221.5	1.096
222.0	1.067
222.5	1.035
223.0	1.005
223.5	0.968
224.0	0.929
224.5	0.888
225.0	0.848
225.5	0.814
226.0	0.783
226.5	0.755
227.0	0.732
227.5	0.711
228.0	0.691
228.5	0.673
229.0	0.655
229.5	0.639
230.0	0.621
230.5	0.603
231.0	0.586
231.5	0.567
232.0	0.545
232.5	0.522
233.0	0.496
233.5	0.471
234.0	0.444
234.5	0.414
235.0	0.384
235.5	0.355
236.0	0.326
236.5	0.299
237.0	0.273
237.5	0.250
238.0	0.224
238.5	0.198
239.0	0.175
239.5	0.157
240.0	0.142
240.5	0.131
241.0	0.122
241.5	0.113
242.0	0.105
242.5	0.096
243.0	0.087
243.5	0.078
244.0	0.071
244.5	0.064
245.0	0.058
245.5	0.054
246.0	0.051
246.5	0.048
247.0	0.046
247.5	0.044
248.0	0.039
248.5	0.036
249.0	0.033
249.5	0.031
250.0	0.030
250.5	0.029
251.0	0.029
251.5	0.028
252.0	0.029
252.5	0.029
253.0	0.027
253.5	0.029
254.0	0.026
254.5	0.026
255.0	0.026
255.5	0.024
256.0	0.021
256.5	0.019
257.0	0.016
257.5	0.013
258.0	0.013
258.5	0.013
259.0	0.014
259.5	0.013
260.0	0.013
260.5	0.014
261.0	0.013
261.5	0.013
262.0	0.012
262.5	0.011
263.0	0.011
263.5	0.011
264.0	0.012
264.5	0.014
265.0	0.017
265.5	0.016
266.0	0.015
266.5	0.015
267.0	0.015
267.5	0.013
268.0	0.009
268.5	0.007
269.0	0.004
269.5	0.004
270.0	0.004
270.5	0.004
271.0	0.004
271.5	0.004
272.0	0.003
272.5	0.002
273.0	0.002
273.5	0.001
274.0	0.000
274.5	-0.002
275.0	-0.002
275.5	-0.001
276.0	0.000
276.5	0.001
277.0	0.001
277.5	-0.001
278.0	-0.003
278.5	-0.002
279.0	-0.003
279.5	-0.004
280.0	-0.004
280.5	-0.007
281.0	-0.007
281.5	-0.007
282.0	-0.007
282.5	-0.007
283.0	-0.008
283.5	-0.008
284.0	-0.008
284.5	-0.007
285.0	-0.005
285.5	-0.004
286.0	-0.004
286.5	-0.003
287.0	-0.003
287.5	-0.002
288.0	-0.002
288.5	-0.001
289.0	-0.002
289.5	-0.002
290.0	-0.001
290.5	-0.001
291.0	-0.002
291.5	-0.003
292.0	-0.003
292.5	-0.005
293.0	-0.008
293.5	-0.008
294.0	-0.009
294.5	-0.011
295.0	-0.012
295.5	-0.013
296.0	-0.013
296.5	-0.013
297.0	-0.012
297.5	-0.013
298.0	-0.013
298.5	-0.012
299.0	-0.011
299.5	-0.012
300.0	-0.011
300.5	-0.010
301.0	-0.009
301.5	-0.008
302.0	-0.008
302.5	-0.007
303.0	-0.005
303.5	-0.006
304.0	-0.006
304.5	-0.007
305.0	-0.008
305.5	-0.006
306.0	-0.005
306.5	-0.005
307.0	-0.006
307.5	-0.008
308.0	-0.009
308.5	-0.010
309.0	-0.011
309.5	-0.011
310.0	-0.012
310.5	-0.011
311.0	-0.011
311.5	-0.009
312.0	-0.010
312.5	-0.010
313.0	-0.011
313.5	-0.010
314.0	-0.012
314.5	-0.011
315.0	-0.011
315.5	-0.010
316.0	-0.008
316.5	-0.008
317.0	-0.006
317.5	-0.006
318.0	-0.005
318.5	-0.006
319.0	-0.008
319.5	-0.007
320.0	-0.008
320.5	-0.008
321.0	-0.009
321.5	-0.009
322.0	-0.009
322.5	-0.007
323.0	-0.007
323.5	-0.007
324.0	-0.007
324.5	-0.007
325.0	-0.007
325.5	-0.007
326.0	-0.007
326.5	-0.006
327.0	-0.006
327.5	-0.006
328.0	-0.004
328.5	-0.004
329.0	-0.003
329.5	-0.003
330.0	-0.003
330.5	-0.002
331.0	-0.003
331.5	-0.004
332.0	-0.002
332.5	-0.002
333.0	-0.001
333.5	-0.001
334.0	0.001
334.5	0.000
335.0	0.001
335.5	0.000
336.0	0.000
336.5	-0.001
337.0	0.000
337.5	0.002
338.0	0.002
338.5	0.001
339.0	0.001
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	-0.002
341.5	-0.002
342.0	-0.001
342.5	-0.001
343.0	-0.002
343.5	-0.003
344.0	-0.002
344.5	-0.003
345.0	-0.003
345.5	-0.004
346.0	-0.002
346.5	-0.001
347.0	-0.002
347.5	-0.004
348.0	-0.004
348.5	-0.004
349.0	-0.005
349.5	-0.006
350.0	-0.005


Sample 9
1/11/2024 1:32:24 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	2.959
A260/A230	0.019
A260	0.024
A280	0.008
220.0	2.272
220.5	2.236
221.0	2.192
221.5	2.147
222.0	2.096
222.5	2.042
223.0	1.983
223.5	1.918
224.0	1.846
224.5	1.769
225.0	1.694
225.5	1.627
226.0	1.568
226.5	1.515
227.0	1.469
227.5	1.428
228.0	1.390
228.5	1.354
229.0	1.320
229.5	1.285
230.0	1.249
230.5	1.213
231.0	1.175
231.5	1.136
232.0	1.092
232.5	1.044
233.0	0.993
233.5	0.941
234.0	0.885
234.5	0.826
235.0	0.765
235.5	0.703
236.0	0.648
236.5	0.595
237.0	0.544
237.5	0.496
238.0	0.445
238.5	0.397
239.0	0.355
239.5	0.321
240.0	0.291
240.5	0.265
241.0	0.244
241.5	0.225
242.0	0.208
242.5	0.191
243.0	0.176
243.5	0.159
244.0	0.144
244.5	0.131
245.0	0.120
245.5	0.110
246.0	0.103
246.5	0.097
247.0	0.090
247.5	0.085
248.0	0.079
248.5	0.073
249.0	0.068
249.5	0.064
250.0	0.062
250.5	0.058
251.0	0.055
251.5	0.054
252.0	0.052
252.5	0.051
253.0	0.050
253.5	0.050
254.0	0.047
254.5	0.045
255.0	0.042
255.5	0.040
256.0	0.038
256.5	0.035
257.0	0.031
257.5	0.027
258.0	0.025
258.5	0.025
259.0	0.024
259.5	0.024
260.0	0.024
260.5	0.023
261.0	0.022
261.5	0.021
262.0	0.020
262.5	0.019
263.0	0.018
263.5	0.017
264.0	0.017
264.5	0.018
265.0	0.020
265.5	0.020
266.0	0.020
266.5	0.021
267.0	0.020
267.5	0.018
268.0	0.016
268.5	0.014
269.0	0.011
269.5	0.010
270.0	0.010
270.5	0.010
271.0	0.010
271.5	0.010
272.0	0.010
272.5	0.010
273.0	0.008
273.5	0.007
274.0	0.005
274.5	0.005
275.0	0.005
275.5	0.006
276.0	0.006
276.5	0.009
277.0	0.010
277.5	0.009
278.0	0.009
278.5	0.010
279.0	0.010
279.5	0.009
280.0	0.008
280.5	0.007
281.0	0.006
281.5	0.006
282.0	0.006
282.5	0.004
283.0	0.002
283.5	0.001
284.0	0.000
284.5	0.001
285.0	0.001
285.5	0.000
286.0	-0.001
286.5	-0.001
287.0	-0.002
287.5	-0.002
288.0	-0.002
288.5	-0.001
289.0	-0.001
289.5	0.000
290.0	0.001
290.5	0.000
291.0	0.000
291.5	-0.002
292.0	-0.003
292.5	-0.003
293.0	-0.004
293.5	-0.005
294.0	-0.006
294.5	-0.008
295.0	-0.008
295.5	-0.008
296.0	-0.009
296.5	-0.010
297.0	-0.011
297.5	-0.012
298.0	-0.010
298.5	-0.010
299.0	-0.009
299.5	-0.009
300.0	-0.009
300.5	-0.008
301.0	-0.008
301.5	-0.006
302.0	-0.005
302.5	-0.003
303.0	-0.003
303.5	-0.004
304.0	-0.003
304.5	-0.002
305.0	-0.002
305.5	-0.004
306.0	-0.003
306.5	-0.002
307.0	-0.002
307.5	-0.003
308.0	-0.004
308.5	-0.005
309.0	-0.007
309.5	-0.006
310.0	-0.007
310.5	-0.005
311.0	-0.005
311.5	-0.004
312.0	-0.004
312.5	-0.004
313.0	-0.005
313.5	-0.005
314.0	-0.007
314.5	-0.007
315.0	-0.006
315.5	-0.005
316.0	-0.005
316.5	-0.005
317.0	-0.004
317.5	-0.004
318.0	-0.004
318.5	-0.005
319.0	-0.006
319.5	-0.006
320.0	-0.006
320.5	-0.006
321.0	-0.006
321.5	-0.005
322.0	-0.005
322.5	-0.004
323.0	-0.004
323.5	-0.004
324.0	-0.003
324.5	-0.004
325.0	-0.005
325.5	-0.005
326.0	-0.005
326.5	-0.005
327.0	-0.004
327.5	-0.003
328.0	-0.002
328.5	-0.003
329.0	-0.003
329.5	-0.004
330.0	-0.004
330.5	-0.003
331.0	-0.003
331.5	-0.004
332.0	-0.002
332.5	0.000
333.0	0.001
333.5	0.001
334.0	0.002
334.5	0.001
335.0	0.000
335.5	0.000
336.0	0.001
336.5	0.002
337.0	0.003
337.5	0.003
338.0	0.002
338.5	0.002
339.0	0.003
339.5	0.002
340.0	0.000
340.5	0.000
341.0	0.000
341.5	0.001
342.0	0.002
342.5	0.003
343.0	0.003
343.5	0.002
344.0	0.003
344.5	0.002
345.0	0.002
345.5	0.002
346.0	0.003
346.5	0.003
347.0	0.002
347.5	0.001
348.0	0.001
348.5	0.000
349.0	-0.002
349.5	-0.003
350.0	-0.004


Sample 10
1/11/2024 1:33:48 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	4.293
A260/A230	0.007
A260	0.061
A280	0.014
220.0	14.926
220.5	14.720
221.0	14.512
221.5	14.256
222.0	13.943
222.5	13.604
223.0	13.236
223.5	12.831
224.0	12.355
224.5	11.852
225.0	11.366
225.5	10.946
226.0	10.582
226.5	10.259
227.0	9.962
227.5	9.684
228.0	9.423
228.5	9.175
229.0	8.927
229.5	8.672
230.0	8.405
230.5	8.126
231.0	7.837
231.5	7.534
232.0	7.202
232.5	6.842
233.0	6.460
233.5	6.068
234.0	5.667
234.5	5.259
235.0	4.854
235.5	4.464
236.0	4.094
236.5	3.745
237.0	3.409
237.5	3.086
238.0	2.771
238.5	2.474
239.0	2.209
239.5	1.984
240.0	1.797
240.5	1.638
241.0	1.503
241.5	1.385
242.0	1.277
242.5	1.171
243.0	1.069
243.5	0.971
244.0	0.885
244.5	0.810
245.0	0.744
245.5	0.686
246.0	0.632
246.5	0.582
247.0	0.536
247.5	0.494
248.0	0.454
248.5	0.418
249.0	0.388
249.5	0.360
250.0	0.336
250.5	0.312
251.0	0.289
251.5	0.266
252.0	0.242
252.5	0.219
253.0	0.196
253.5	0.178
254.0	0.161
254.5	0.146
255.0	0.133
255.5	0.123
256.0	0.112
256.5	0.102
257.0	0.092
257.5	0.083
258.0	0.076
258.5	0.073
259.0	0.069
259.5	0.065
260.0	0.061
260.5	0.060
261.0	0.059
261.5	0.057
262.0	0.054
262.5	0.052
263.0	0.050
263.5	0.048
264.0	0.046
264.5	0.045
265.0	0.045
265.5	0.045
266.0	0.043
266.5	0.041
267.0	0.040
267.5	0.038
268.0	0.034
268.5	0.030
269.0	0.029
269.5	0.028
270.0	0.027
270.5	0.027
271.0	0.027
271.5	0.027
272.0	0.025
272.5	0.024
273.0	0.023
273.5	0.022
274.0	0.021
274.5	0.019
275.0	0.018
275.5	0.020
276.0	0.021
276.5	0.020
277.0	0.019
277.5	0.019
278.0	0.017
278.5	0.016
279.0	0.015
279.5	0.014
280.0	0.014
280.5	0.013
281.0	0.012
281.5	0.011
282.0	0.012
282.5	0.011
283.0	0.009
283.5	0.007
284.0	0.006
284.5	0.006
285.0	0.005
285.5	0.005
286.0	0.004
286.5	0.003
287.0	0.003
287.5	0.003
288.0	0.002
288.5	0.002
289.0	0.001
289.5	0.001
290.0	0.001
290.5	0.001
291.0	0.001
291.5	-0.001
292.0	-0.001
292.5	-0.002
293.0	-0.003
293.5	-0.002
294.0	-0.004
294.5	-0.005
295.0	-0.007
295.5	-0.007
296.0	-0.006
296.5	-0.007
297.0	-0.007
297.5	-0.008
298.0	-0.007
298.5	-0.007
299.0	-0.006
299.5	-0.006
300.0	-0.006
300.5	-0.005
301.0	-0.006
301.5	-0.004
302.0	-0.003
302.5	-0.001
303.0	-0.001
303.5	-0.002
304.0	-0.003
304.5	-0.002
305.0	-0.001
305.5	-0.002
306.0	-0.003
306.5	-0.002
307.0	-0.003
307.5	-0.005
308.0	-0.006
308.5	-0.006
309.0	-0.007
309.5	-0.007
310.0	-0.009
310.5	-0.009
311.0	-0.009
311.5	-0.006
312.0	-0.007
312.5	-0.008
313.0	-0.008
313.5	-0.007
314.0	-0.008
314.5	-0.008
315.0	-0.008
315.5	-0.007
316.0	-0.006
316.5	-0.006
317.0	-0.005
317.5	-0.004
318.0	-0.003
318.5	-0.003
319.0	-0.005
319.5	-0.004
320.0	-0.004
320.5	-0.004
321.0	-0.004
321.5	-0.004
322.0	-0.003
322.5	-0.002
323.0	-0.001
323.5	-0.002
324.0	-0.002
324.5	-0.003
325.0	-0.003
325.5	-0.004
326.0	-0.003
326.5	-0.002
327.0	-0.003
327.5	-0.002
328.0	-0.001
328.5	-0.002
329.0	0.000
329.5	-0.002
330.0	-0.003
330.5	-0.002
331.0	-0.004
331.5	-0.003
332.0	-0.001
332.5	0.000
333.0	0.001
333.5	0.001
334.0	0.001
334.5	0.000
335.0	0.000
335.5	0.000
336.0	0.000
336.5	-0.001
337.0	0.000
337.5	0.001
338.0	0.001
338.5	0.001
339.0	0.001
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	-0.001
341.5	-0.001
342.0	0.001
342.5	0.002
343.0	0.003
343.5	0.002
344.0	0.002
344.5	0.002
345.0	0.002
345.5	0.001
346.0	0.002
346.5	0.003
347.0	0.001
347.5	0.001
348.0	0.001
348.5	0.001
349.0	0.001
349.5	0.000
350.0	0.000


Sample 11
1/11/2024 1:35:11 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	2.062
A260/A230	0.018
A260	0.108
A280	0.052
220.0	10.535
220.5	10.389
221.0	10.205
221.5	10.013
222.0	9.795
222.5	9.542
223.0	9.278
223.5	8.979
224.0	8.650
224.5	8.298
225.0	7.955
225.5	7.654
226.0	7.398
226.5	7.168
227.0	6.959
227.5	6.765
228.0	6.585
228.5	6.417
229.0	6.249
229.5	6.077
230.0	5.901
230.5	5.716
231.0	5.526
231.5	5.322
232.0	5.098
232.5	4.856
233.0	4.598
233.5	4.329
234.0	4.052
234.5	3.768
235.0	3.483
235.5	3.205
236.0	2.942
236.5	2.697
237.0	2.461
237.5	2.233
238.0	2.011
238.5	1.803
239.0	1.613
239.5	1.454
240.0	1.321
240.5	1.208
241.0	1.113
241.5	1.031
242.0	0.954
242.5	0.881
243.0	0.811
243.5	0.743
244.0	0.681
244.5	0.629
245.0	0.583
245.5	0.542
246.0	0.504
246.5	0.472
247.0	0.440
247.5	0.411
248.0	0.384
248.5	0.360
249.0	0.338
249.5	0.318
250.0	0.302
250.5	0.286
251.0	0.270
251.5	0.255
252.0	0.240
252.5	0.224
253.0	0.209
253.5	0.197
254.0	0.184
254.5	0.174
255.0	0.164
255.5	0.155
256.0	0.146
256.5	0.138
257.0	0.129
257.5	0.122
258.0	0.118
258.5	0.115
259.0	0.112
259.5	0.110
260.0	0.108
260.5	0.107
261.0	0.106
261.5	0.104
262.0	0.101
262.5	0.100
263.0	0.099
263.5	0.097
264.0	0.096
264.5	0.096
265.0	0.096
265.5	0.095
266.0	0.093
266.5	0.092
267.0	0.090
267.5	0.088
268.0	0.084
268.5	0.081
269.0	0.078
269.5	0.077
270.0	0.075
270.5	0.075
271.0	0.073
271.5	0.072
272.0	0.071
272.5	0.070
273.0	0.068
273.5	0.065
274.0	0.063
274.5	0.061
275.0	0.061
275.5	0.061
276.0	0.062
276.5	0.061
277.0	0.060
277.5	0.059
278.0	0.057
278.5	0.056
279.0	0.055
279.5	0.054
280.0	0.052
280.5	0.050
281.0	0.049
281.5	0.048
282.0	0.047
282.5	0.044
283.0	0.041
283.5	0.039
284.0	0.037
284.5	0.037
285.0	0.035
285.5	0.034
286.0	0.033
286.5	0.032
287.0	0.030
287.5	0.027
288.0	0.026
288.5	0.024
289.0	0.021
289.5	0.020
290.0	0.021
290.5	0.020
291.0	0.018
291.5	0.016
292.0	0.013
292.5	0.012
293.0	0.009
293.5	0.007
294.0	0.006
294.5	0.003
295.0	0.002
295.5	0.001
296.0	0.001
296.5	0.001
297.0	-0.001
297.5	-0.002
298.0	-0.003
298.5	-0.003
299.0	-0.003
299.5	-0.003
300.0	-0.003
300.5	-0.001
301.0	0.000
301.5	-0.001
302.0	0.001
302.5	0.002
303.0	0.003
303.5	0.001
304.0	0.001
304.5	0.002
305.0	0.001
305.5	0.002
306.0	0.001
306.5	0.001
307.0	0.000
307.5	-0.002
308.0	-0.004
308.5	-0.005
309.0	-0.007
309.5	-0.008
310.0	-0.010
310.5	-0.010
311.0	-0.010
311.5	-0.011
312.0	-0.011
312.5	-0.011
313.0	-0.012
313.5	-0.012
314.0	-0.013
314.5	-0.012
315.0	-0.012
315.5	-0.010
316.0	-0.010
316.5	-0.009
317.0	-0.007
317.5	-0.007
318.0	-0.006
318.5	-0.005
319.0	-0.004
319.5	-0.004
320.0	-0.004
320.5	-0.003
321.0	-0.004
321.5	-0.003
322.0	-0.003
322.5	-0.003
323.0	-0.002
323.5	-0.002
324.0	-0.002
324.5	-0.004
325.0	-0.004
325.5	-0.003
326.0	-0.003
326.5	-0.003
327.0	-0.003
327.5	-0.002
328.0	-0.001
328.5	-0.003
329.0	-0.001
329.5	-0.003
330.0	-0.003
330.5	-0.003
331.0	-0.003
331.5	-0.004
332.0	-0.003
332.5	-0.002
333.0	-0.002
333.5	-0.004
334.0	-0.003
334.5	-0.003
335.0	-0.003
335.5	-0.003
336.0	-0.003
336.5	-0.003
337.0	-0.002
337.5	0.000
338.0	0.000
338.5	-0.001
339.0	0.000
339.5	0.001
340.0	0.000
340.5	-0.001
341.0	0.000
341.5	0.000
342.0	0.002
342.5	0.002
343.0	0.002
343.5	0.003
344.0	0.004
344.5	0.004
345.0	0.005
345.5	0.004
346.0	0.005
346.5	0.004
347.0	0.004
347.5	0.003
348.0	0.002
348.5	0.002
349.0	0.002
349.5	0.001
350.0	0.001


Sample 12
1/11/2024 1:37:07 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17000	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.28000	
//WLCalib: 484S 	-0.08000	
//WLCalib: 529S 	0.31000	
//WLCalib: 823S 	-0.39000	
//QSpecEnd: 
A260/A280	1.943
A260/A230	0.025
A260	0.068
A280	0.035
220.0	4.842
220.5	4.766
221.0	4.681
221.5	4.583
222.0	4.479
222.5	4.364
223.0	4.246
223.5	4.111
224.0	3.963
224.5	3.804
225.0	3.648
225.5	3.512
226.0	3.394
226.5	3.288
227.0	3.191
227.5	3.105
228.0	3.024
228.5	2.949
229.0	2.876
229.5	2.803
230.0	2.727
230.5	2.648
231.0	2.568
231.5	2.482
232.0	2.388
232.5	2.285
233.0	2.173
233.5	2.056
234.0	1.934
234.5	1.809
235.0	1.679
235.5	1.552
236.0	1.433
236.5	1.319
237.0	1.210
237.5	1.105
238.0	1.002
238.5	0.902
239.0	0.813
239.5	0.737
240.0	0.674
240.5	0.620
241.0	0.574
241.5	0.533
242.0	0.497
242.5	0.461
243.0	0.426
243.5	0.391
244.0	0.360
244.5	0.334
245.0	0.311
245.5	0.291
246.0	0.272
246.5	0.256
247.0	0.241
247.5	0.227
248.0	0.213
248.5	0.200
249.0	0.189
249.5	0.179
250.0	0.171
250.5	0.163
251.0	0.156
251.5	0.149
252.0	0.142
252.5	0.134
253.0	0.127
253.5	0.122
254.0	0.115
254.5	0.108
255.0	0.102
255.5	0.099
256.0	0.094
256.5	0.091
257.0	0.085
257.5	0.078
258.0	0.074
258.5	0.073
259.0	0.073
259.5	0.071
260.0	0.068
260.5	0.068
261.0	0.067
261.5	0.066
262.0	0.064
262.5	0.063
263.0	0.061
263.5	0.059
264.0	0.058
264.5	0.058
265.0	0.061
265.5	0.061
266.0	0.061
266.5	0.059
267.0	0.058
267.5	0.056
268.0	0.053
268.5	0.051
269.0	0.048
269.5	0.048
270.0	0.046
270.5	0.047
271.0	0.047
271.5	0.047
272.0	0.045
272.5	0.044
273.0	0.042
273.5	0.040
274.0	0.039
274.5	0.038
275.0	0.038
275.5	0.038
276.0	0.039
276.5	0.040
277.0	0.040
277.5	0.038
278.0	0.038
278.5	0.037
279.0	0.036
279.5	0.036
280.0	0.035
280.5	0.033
281.0	0.032
281.5	0.032
282.0	0.031
282.5	0.028
283.0	0.026
283.5	0.025
284.0	0.023
284.5	0.023
285.0	0.023
285.5	0.021
286.0	0.020
286.5	0.021
287.0	0.020
287.5	0.019
288.0	0.019
288.5	0.018
289.0	0.017
289.5	0.017
290.0	0.019
290.5	0.019
291.0	0.018
291.5	0.016
292.0	0.016
292.5	0.015
293.0	0.015
293.5	0.014
294.0	0.013
294.5	0.011
295.0	0.011
295.5	0.011
296.0	0.011
296.5	0.012
297.0	0.011
297.5	0.011
298.0	0.011
298.5	0.011
299.0	0.013
299.5	0.012
300.0	0.013
300.5	0.013
301.0	0.013
301.5	0.013
302.0	0.014
302.5	0.015
303.0	0.014
303.5	0.014
304.0	0.013
304.5	0.014
305.0	0.013
305.5	0.013
306.0	0.012
306.5	0.012
307.0	0.012
307.5	0.011
308.0	0.009
308.5	0.010
309.0	0.009
309.5	0.009
310.0	0.008
310.5	0.009
311.0	0.009
311.5	0.011
